"ASCOLTO_ID","PALINSESTO_ID","PROGRAMMA_ID","DATA_RILEVAZIONE","FASCIA_ORARIA","REGIONE","TELESPETTATORI","SHARE_PERCENTUALE","TARGET_COMMERCIALE","DISPOSITIVO"
1180,118,4,"2024-03-24","Mattina","Veneto",436758,31.00,"Adulti 25-54","Streaming"
1181,119,4,"2024-03-27","Mattina","Calabria",113157,29.00,"Tutti","Streaming"
1182,119,4,"2024-03-27","Mattina","Campania",992071,10.00,"Giovani 15-34","Streaming"
1183,119,4,"2024-03-27","Mattina","Emilia-Romagna",1689057,31.00,"Responsabili Acquisto","TV Tradizionale"
1184,119,4,"2024-03-27","Mattina","Lazio",536397,16.00,"Responsabili Acquisto","Smart TV"
1185,119,4,"2024-03-27","Mattina","Lombardia",1954635,17.00,"Tutti","Smart TV"
1186,119,4,"2024-03-27","Mattina","Piemonte",107007,34.00,"Adulti 25-54","TV Tradizionale"
1187,119,4,"2024-03-27","Mattina","Puglia",284108,21.00,"Responsabili Acquisto","Smart TV"
1188,119,4,"2024-03-27","Mattina","Sicilia",533125,35.00,"Giovani 15-34","TV Tradizionale"
1189,119,4,"2024-03-27","Mattina","Toscana",1204468,26.00,"Responsabili Acquisto","Streaming"
1190,119,4,"2024-03-27","Mattina","Veneto",253691,27.00,"Adulti 25-54","Streaming"
1191,120,4,"2024-03-30","Mattina","Calabria",1635040,11.00,"Responsabili Acquisto","Streaming"
1192,120,4,"2024-03-30","Mattina","Campania",1399632,23.00,"Giovani 15-34","Streaming"
1193,120,4,"2024-03-30","Mattina","Emilia-Romagna",1936366,7.00,"Adulti 25-54","TV Tradizionale"
1194,120,4,"2024-03-30","Mattina","Lazio",1321663,27.00,"Responsabili Acquisto","Smart TV"
1195,120,4,"2024-03-30","Mattina","Lombardia",1108392,31.00,"Adulti 25-54","Smart TV"
1196,120,4,"2024-03-30","Mattina","Piemonte",1985111,29.00,"Responsabili Acquisto","TV Tradizionale"
1197,120,4,"2024-03-30","Mattina","Puglia",349331,17.00,"Responsabili Acquisto","Smart TV"
1198,120,4,"2024-03-30","Mattina","Sicilia",1876838,13.00,"Adulti 25-54","TV Tradizionale"
1199,120,4,"2024-03-30","Mattina","Toscana",1050281,34.00,"Giovani 15-34","Streaming"
1200,120,4,"2024-03-30","Mattina","Veneto",1252623,16.00,"Giovani 15-34","Streaming"
1201,121,5,"2024-01-02","Pomeriggio","Calabria",1389817,18.00,"Giovani 15-34","Streaming"
1202,121,5,"2024-01-02","Pomeriggio","Campania",432756,35.00,"Adulti 25-54","Streaming"
1203,121,5,"2024-01-02","Pomeriggio","Emilia-Romagna",1795610,27.00,"Adulti 25-54","TV Tradizionale"
1204,121,5,"2024-01-02","Pomeriggio","Lazio",1026009,33.00,"Responsabili Acquisto","Smart TV"
1205,121,5,"2024-01-02","Pomeriggio","Lombardia",292252,10.00,"Responsabili Acquisto","Smart TV"
1206,121,5,"2024-01-02","Pomeriggio","Piemonte",1670365,7.00,"Giovani 15-34","TV Tradizionale"
1207,121,5,"2024-01-02","Pomeriggio","Puglia",723651,31.00,"Tutti","Smart TV"
1208,121,5,"2024-01-02","Pomeriggio","Sicilia",72778,10.00,"Tutti","TV Tradizionale"
1209,121,5,"2024-01-02","Pomeriggio","Toscana",1444352,33.00,"Responsabili Acquisto","Streaming"
1210,121,5,"2024-01-02","Pomeriggio","Veneto",852277,5.00,"Responsabili Acquisto","Streaming"
1211,122,5,"2024-01-05","Pomeriggio","Calabria",1332540,15.00,"Responsabili Acquisto","Streaming"
1212,122,5,"2024-01-05","Pomeriggio","Campania",1311391,16.00,"Tutti","Streaming"
1213,122,5,"2024-01-05","Pomeriggio","Emilia-Romagna",820980,21.00,"Responsabili Acquisto","TV Tradizionale"
1214,122,5,"2024-01-05","Pomeriggio","Lazio",1804835,22.00,"Adulti 25-54","Smart TV"
1215,122,5,"2024-01-05","Pomeriggio","Lombardia",1431068,22.00,"Tutti","Smart TV"
1216,122,5,"2024-01-05","Pomeriggio","Piemonte",1243797,33.00,"Giovani 15-34","TV Tradizionale"
1217,122,5,"2024-01-05","Pomeriggio","Puglia",168153,19.00,"Adulti 25-54","Smart TV"
1218,122,5,"2024-01-05","Pomeriggio","Sicilia",715296,29.00,"Adulti 25-54","TV Tradizionale"
1219,122,5,"2024-01-05","Pomeriggio","Toscana",1169039,15.00,"Responsabili Acquisto","Streaming"
1220,122,5,"2024-01-05","Pomeriggio","Veneto",958827,25.00,"Giovani 15-34","Streaming"
1221,123,5,"2024-01-08","Pomeriggio","Calabria",337302,18.00,"Adulti 25-54","Streaming"
1222,123,5,"2024-01-08","Pomeriggio","Campania",690648,24.00,"Giovani 15-34","Streaming"
1223,123,5,"2024-01-08","Pomeriggio","Emilia-Romagna",599191,10.00,"Responsabili Acquisto","TV Tradizionale"
1224,123,5,"2024-01-08","Pomeriggio","Lazio",1462516,31.00,"Adulti 25-54","Smart TV"
1225,123,5,"2024-01-08","Pomeriggio","Lombardia",1333356,17.00,"Adulti 25-54","Smart TV"
1226,123,5,"2024-01-08","Pomeriggio","Piemonte",1870507,26.00,"Tutti","TV Tradizionale"
1227,123,5,"2024-01-08","Pomeriggio","Puglia",558629,35.00,"Responsabili Acquisto","Smart TV"
1228,123,5,"2024-01-08","Pomeriggio","Sicilia",1308707,27.00,"Responsabili Acquisto","TV Tradizionale"
1229,123,5,"2024-01-08","Pomeriggio","Toscana",897625,12.00,"Tutti","Streaming"
1230,123,5,"2024-01-08","Pomeriggio","Veneto",1127596,16.00,"Giovani 15-34","Streaming"
1231,124,5,"2024-01-11","Pomeriggio","Calabria",372623,25.00,"Giovani 15-34","Streaming"
1232,124,5,"2024-01-11","Pomeriggio","Campania",1919543,8.00,"Giovani 15-34","Streaming"
1233,124,5,"2024-01-11","Pomeriggio","Emilia-Romagna",315618,28.00,"Responsabili Acquisto","TV Tradizionale"
1234,124,5,"2024-01-11","Pomeriggio","Lazio",1103912,31.00,"Giovani 15-34","Smart TV"
1235,124,5,"2024-01-11","Pomeriggio","Lombardia",914423,29.00,"Giovani 15-34","Smart TV"
1236,124,5,"2024-01-11","Pomeriggio","Piemonte",249308,8.00,"Tutti","TV Tradizionale"
1237,124,5,"2024-01-11","Pomeriggio","Puglia",1285873,10.00,"Adulti 25-54","Smart TV"
1238,124,5,"2024-01-11","Pomeriggio","Sicilia",1747593,18.00,"Tutti","TV Tradizionale"
1239,124,5,"2024-01-11","Pomeriggio","Toscana",1387629,8.00,"Responsabili Acquisto","Streaming"
1240,124,5,"2024-01-11","Pomeriggio","Veneto",1287549,21.00,"Giovani 15-34","Streaming"
1241,125,5,"2024-01-14","Pomeriggio","Calabria",1409880,21.00,"Giovani 15-34","Streaming"
1242,125,5,"2024-01-14","Pomeriggio","Campania",1585746,33.00,"Adulti 25-54","Streaming"
1243,125,5,"2024-01-14","Pomeriggio","Emilia-Romagna",1176898,16.00,"Tutti","TV Tradizionale"
1244,125,5,"2024-01-14","Pomeriggio","Lazio",699492,30.00,"Adulti 25-54","Smart TV"
1245,125,5,"2024-01-14","Pomeriggio","Lombardia",1899042,9.00,"Tutti","Smart TV"
1246,125,5,"2024-01-14","Pomeriggio","Piemonte",198030,31.00,"Adulti 25-54","TV Tradizionale"
1247,125,5,"2024-01-14","Pomeriggio","Puglia",511403,10.00,"Responsabili Acquisto","Smart TV"
1248,125,5,"2024-01-14","Pomeriggio","Sicilia",875106,33.00,"Tutti","TV Tradizionale"
1249,125,5,"2024-01-14","Pomeriggio","Toscana",889060,25.00,"Responsabili Acquisto","Streaming"
1250,125,5,"2024-01-14","Pomeriggio","Veneto",1789111,31.00,"Responsabili Acquisto","Streaming"
1251,126,5,"2024-01-17","Pomeriggio","Calabria",1404989,22.00,"Tutti","Streaming"
1252,126,5,"2024-01-17","Pomeriggio","Campania",1122674,21.00,"Responsabili Acquisto","Streaming"
1253,126,5,"2024-01-17","Pomeriggio","Emilia-Romagna",1148954,35.00,"Adulti 25-54","TV Tradizionale"
1254,126,5,"2024-01-17","Pomeriggio","Lazio",92950,28.00,"Adulti 25-54","Smart TV"
1255,126,5,"2024-01-17","Pomeriggio","Lombardia",730101,12.00,"Responsabili Acquisto","Smart TV"
1256,126,5,"2024-01-17","Pomeriggio","Piemonte",1941748,33.00,"Responsabili Acquisto","TV Tradizionale"
1257,126,5,"2024-01-17","Pomeriggio","Puglia",57075,14.00,"Responsabili Acquisto","Smart TV"
1258,126,5,"2024-01-17","Pomeriggio","Sicilia",1196488,10.00,"Tutti","TV Tradizionale"
1259,126,5,"2024-01-17","Pomeriggio","Toscana",1182550,33.00,"Giovani 15-34","Streaming"
1260,126,5,"2024-01-17","Pomeriggio","Veneto",364940,30.00,"Adulti 25-54","Streaming"
1261,127,5,"2024-01-20","Pomeriggio","Calabria",1809355,34.00,"Giovani 15-34","Streaming"
1262,127,5,"2024-01-20","Pomeriggio","Campania",1450325,21.00,"Responsabili Acquisto","Streaming"
1263,127,5,"2024-01-20","Pomeriggio","Emilia-Romagna",382241,23.00,"Giovani 15-34","TV Tradizionale"
1264,127,5,"2024-01-20","Pomeriggio","Lazio",1987911,35.00,"Adulti 25-54","Smart TV"
1265,127,5,"2024-01-20","Pomeriggio","Lombardia",1299551,30.00,"Tutti","Smart TV"
1266,127,5,"2024-01-20","Pomeriggio","Piemonte",1259784,19.00,"Adulti 25-54","TV Tradizionale"
1267,127,5,"2024-01-20","Pomeriggio","Puglia",1973250,24.00,"Tutti","Smart TV"
1268,127,5,"2024-01-20","Pomeriggio","Sicilia",1980456,13.00,"Adulti 25-54","TV Tradizionale"
1269,127,5,"2024-01-20","Pomeriggio","Toscana",1186619,32.00,"Adulti 25-54","Streaming"
1270,127,5,"2024-01-20","Pomeriggio","Veneto",213382,8.00,"Responsabili Acquisto","Streaming"
1271,128,5,"2024-01-23","Pomeriggio","Calabria",1083353,23.00,"Tutti","Streaming"
1272,128,5,"2024-01-23","Pomeriggio","Campania",1776924,23.00,"Adulti 25-54","Streaming"
1273,128,5,"2024-01-23","Pomeriggio","Emilia-Romagna",382341,20.00,"Giovani 15-34","TV Tradizionale"
1274,128,5,"2024-01-23","Pomeriggio","Lazio",491364,28.00,"Responsabili Acquisto","Smart TV"
1275,128,5,"2024-01-23","Pomeriggio","Lombardia",1815544,16.00,"Tutti","Smart TV"
1276,128,5,"2024-01-23","Pomeriggio","Piemonte",1040627,17.00,"Tutti","TV Tradizionale"
1277,128,5,"2024-01-23","Pomeriggio","Puglia",353340,28.00,"Adulti 25-54","Smart TV"
1278,128,5,"2024-01-23","Pomeriggio","Sicilia",1944930,10.00,"Adulti 25-54","TV Tradizionale"
1279,128,5,"2024-01-23","Pomeriggio","Toscana",278239,14.00,"Tutti","Streaming"
1280,128,5,"2024-01-23","Pomeriggio","Veneto",1792455,20.00,"Tutti","Streaming"
1281,129,5,"2024-01-26","Pomeriggio","Calabria",1732701,28.00,"Responsabili Acquisto","Streaming"
1282,129,5,"2024-01-26","Pomeriggio","Campania",833366,35.00,"Tutti","Streaming"
1283,129,5,"2024-01-26","Pomeriggio","Emilia-Romagna",659893,31.00,"Giovani 15-34","TV Tradizionale"
1284,129,5,"2024-01-26","Pomeriggio","Lazio",1742202,18.00,"Giovani 15-34","Smart TV"
1285,129,5,"2024-01-26","Pomeriggio","Lombardia",295647,22.00,"Giovani 15-34","Smart TV"
1286,129,5,"2024-01-26","Pomeriggio","Piemonte",791267,14.00,"Responsabili Acquisto","TV Tradizionale"
1287,129,5,"2024-01-26","Pomeriggio","Puglia",1945282,33.00,"Giovani 15-34","Smart TV"
1288,129,5,"2024-01-26","Pomeriggio","Sicilia",1767703,29.00,"Responsabili Acquisto","TV Tradizionale"
1289,129,5,"2024-01-26","Pomeriggio","Toscana",227462,7.00,"Giovani 15-34","Streaming"
1290,129,5,"2024-01-26","Pomeriggio","Veneto",440072,20.00,"Tutti","Streaming"
1291,130,5,"2024-01-29","Pomeriggio","Calabria",548033,25.00,"Giovani 15-34","Streaming"
1292,130,5,"2024-01-29","Pomeriggio","Campania",1047496,28.00,"Tutti","Streaming"
1293,130,5,"2024-01-29","Pomeriggio","Emilia-Romagna",1525225,14.00,"Responsabili Acquisto","TV Tradizionale"
1294,130,5,"2024-01-29","Pomeriggio","Lazio",838202,35.00,"Giovani 15-34","Smart TV"
1295,130,5,"2024-01-29","Pomeriggio","Lombardia",1324638,22.00,"Adulti 25-54","Smart TV"
1296,130,5,"2024-01-29","Pomeriggio","Piemonte",885394,14.00,"Giovani 15-34","TV Tradizionale"
1297,130,5,"2024-01-29","Pomeriggio","Puglia",1013478,14.00,"Responsabili Acquisto","Smart TV"
1298,130,5,"2024-01-29","Pomeriggio","Sicilia",1024722,24.00,"Responsabili Acquisto","TV Tradizionale"
1299,130,5,"2024-01-29","Pomeriggio","Toscana",1638762,5.00,"Tutti","Streaming"
1300,130,5,"2024-01-29","Pomeriggio","Veneto",1174074,19.00,"Responsabili Acquisto","Streaming"
1301,131,5,"2024-02-01","Pomeriggio","Calabria",1647348,21.00,"Responsabili Acquisto","Streaming"
1302,131,5,"2024-02-01","Pomeriggio","Campania",368192,27.00,"Giovani 15-34","Streaming"
1303,131,5,"2024-02-01","Pomeriggio","Emilia-Romagna",1732808,17.00,"Adulti 25-54","TV Tradizionale"
1304,131,5,"2024-02-01","Pomeriggio","Lazio",800462,7.00,"Adulti 25-54","Smart TV"
1305,131,5,"2024-02-01","Pomeriggio","Lombardia",144664,27.00,"Responsabili Acquisto","Smart TV"
1306,131,5,"2024-02-01","Pomeriggio","Piemonte",553780,19.00,"Responsabili Acquisto","TV Tradizionale"
1307,131,5,"2024-02-01","Pomeriggio","Puglia",1486423,12.00,"Giovani 15-34","Smart TV"
1308,131,5,"2024-02-01","Pomeriggio","Sicilia",1394586,12.00,"Tutti","TV Tradizionale"
1309,131,5,"2024-02-01","Pomeriggio","Toscana",1099210,8.00,"Tutti","Streaming"
1310,131,5,"2024-02-01","Pomeriggio","Veneto",834688,5.00,"Tutti","Streaming"
1311,132,5,"2024-02-04","Pomeriggio","Calabria",866195,9.00,"Responsabili Acquisto","Streaming"
1312,132,5,"2024-02-04","Pomeriggio","Campania",903827,24.00,"Responsabili Acquisto","Streaming"
1313,132,5,"2024-02-04","Pomeriggio","Emilia-Romagna",353820,10.00,"Giovani 15-34","TV Tradizionale"
1314,132,5,"2024-02-04","Pomeriggio","Lazio",1972927,17.00,"Responsabili Acquisto","Smart TV"
1315,132,5,"2024-02-04","Pomeriggio","Lombardia",311110,29.00,"Giovani 15-34","Smart TV"
1316,132,5,"2024-02-04","Pomeriggio","Piemonte",1623203,14.00,"Tutti","TV Tradizionale"
1317,132,5,"2024-02-04","Pomeriggio","Puglia",1545272,19.00,"Responsabili Acquisto","Smart TV"
1318,132,5,"2024-02-04","Pomeriggio","Sicilia",1516053,7.00,"Giovani 15-34","TV Tradizionale"
1319,132,5,"2024-02-04","Pomeriggio","Toscana",858779,10.00,"Tutti","Streaming"
1320,132,5,"2024-02-04","Pomeriggio","Veneto",1886275,29.00,"Giovani 15-34","Streaming"
1321,133,5,"2024-02-07","Pomeriggio","Calabria",952581,13.00,"Tutti","Streaming"
1322,133,5,"2024-02-07","Pomeriggio","Campania",1168920,23.00,"Tutti","Streaming"
1323,133,5,"2024-02-07","Pomeriggio","Emilia-Romagna",1216652,22.00,"Adulti 25-54","TV Tradizionale"
1324,133,5,"2024-02-07","Pomeriggio","Lazio",1669579,17.00,"Tutti","Smart TV"
1325,133,5,"2024-02-07","Pomeriggio","Lombardia",607584,25.00,"Tutti","Smart TV"
1326,133,5,"2024-02-07","Pomeriggio","Piemonte",1519050,9.00,"Adulti 25-54","TV Tradizionale"
1327,133,5,"2024-02-07","Pomeriggio","Puglia",841712,28.00,"Responsabili Acquisto","Smart TV"
1328,133,5,"2024-02-07","Pomeriggio","Sicilia",809912,6.00,"Tutti","TV Tradizionale"
1329,133,5,"2024-02-07","Pomeriggio","Toscana",843255,8.00,"Responsabili Acquisto","Streaming"
1330,133,5,"2024-02-07","Pomeriggio","Veneto",578516,14.00,"Responsabili Acquisto","Streaming"
1331,134,5,"2024-02-10","Pomeriggio","Calabria",1025953,14.00,"Tutti","Streaming"
1332,134,5,"2024-02-10","Pomeriggio","Campania",1207300,7.00,"Responsabili Acquisto","Streaming"
1333,134,5,"2024-02-10","Pomeriggio","Emilia-Romagna",1089057,11.00,"Responsabili Acquisto","TV Tradizionale"
1334,134,5,"2024-02-10","Pomeriggio","Lazio",1815896,30.00,"Giovani 15-34","Smart TV"
1335,134,5,"2024-02-10","Pomeriggio","Lombardia",246089,25.00,"Adulti 25-54","Smart TV"
1336,134,5,"2024-02-10","Pomeriggio","Piemonte",1979441,15.00,"Responsabili Acquisto","TV Tradizionale"
1337,134,5,"2024-02-10","Pomeriggio","Puglia",1088435,19.00,"Tutti","Smart TV"
1338,134,5,"2024-02-10","Pomeriggio","Sicilia",1076507,32.00,"Giovani 15-34","TV Tradizionale"
1339,134,5,"2024-02-10","Pomeriggio","Toscana",687467,24.00,"Giovani 15-34","Streaming"
1340,134,5,"2024-02-10","Pomeriggio","Veneto",240248,19.00,"Tutti","Streaming"
1341,135,5,"2024-02-13","Pomeriggio","Calabria",224492,14.00,"Adulti 25-54","Streaming"
1342,135,5,"2024-02-13","Pomeriggio","Campania",271990,16.00,"Giovani 15-34","Streaming"
1343,135,5,"2024-02-13","Pomeriggio","Emilia-Romagna",669975,32.00,"Tutti","TV Tradizionale"
1344,135,5,"2024-02-13","Pomeriggio","Lazio",964821,15.00,"Adulti 25-54","Smart TV"
1345,135,5,"2024-02-13","Pomeriggio","Lombardia",1859871,27.00,"Responsabili Acquisto","Smart TV"
1346,135,5,"2024-02-13","Pomeriggio","Piemonte",1607760,7.00,"Adulti 25-54","TV Tradizionale"
1347,135,5,"2024-02-13","Pomeriggio","Puglia",397049,22.00,"Giovani 15-34","Smart TV"
1348,135,5,"2024-02-13","Pomeriggio","Sicilia",598097,26.00,"Tutti","TV Tradizionale"
1349,135,5,"2024-02-13","Pomeriggio","Toscana",580236,14.00,"Responsabili Acquisto","Streaming"
1350,135,5,"2024-02-13","Pomeriggio","Veneto",1736999,5.00,"Giovani 15-34","Streaming"
1351,136,5,"2024-02-16","Pomeriggio","Calabria",1847798,23.00,"Giovani 15-34","Streaming"
1352,136,5,"2024-02-16","Pomeriggio","Campania",1584709,9.00,"Giovani 15-34","Streaming"
1353,136,5,"2024-02-16","Pomeriggio","Emilia-Romagna",890004,17.00,"Adulti 25-54","TV Tradizionale"
1354,136,5,"2024-02-16","Pomeriggio","Lazio",180247,30.00,"Giovani 15-34","Smart TV"
1355,136,5,"2024-02-16","Pomeriggio","Lombardia",1596550,8.00,"Responsabili Acquisto","Smart TV"
1356,136,5,"2024-02-16","Pomeriggio","Piemonte",1082816,22.00,"Giovani 15-34","TV Tradizionale"
1357,136,5,"2024-02-16","Pomeriggio","Puglia",1899892,24.00,"Tutti","Smart TV"
1358,136,5,"2024-02-16","Pomeriggio","Sicilia",729248,13.00,"Adulti 25-54","TV Tradizionale"
1359,136,5,"2024-02-16","Pomeriggio","Toscana",154913,18.00,"Tutti","Streaming"
1360,136,5,"2024-02-16","Pomeriggio","Veneto",382005,21.00,"Tutti","Streaming"
1361,137,5,"2024-02-19","Pomeriggio","Calabria",1967925,17.00,"Adulti 25-54","Streaming"
1362,137,5,"2024-02-19","Pomeriggio","Campania",1021264,10.00,"Tutti","Streaming"
1363,137,5,"2024-02-19","Pomeriggio","Emilia-Romagna",1050457,18.00,"Tutti","TV Tradizionale"
1364,137,5,"2024-02-19","Pomeriggio","Lazio",712935,18.00,"Adulti 25-54","Smart TV"
1365,137,5,"2024-02-19","Pomeriggio","Lombardia",1968825,7.00,"Tutti","Smart TV"
1366,137,5,"2024-02-19","Pomeriggio","Piemonte",903761,31.00,"Giovani 15-34","TV Tradizionale"
1367,137,5,"2024-02-19","Pomeriggio","Puglia",180392,5.00,"Responsabili Acquisto","Smart TV"
1368,137,5,"2024-02-19","Pomeriggio","Sicilia",1912903,5.00,"Responsabili Acquisto","TV Tradizionale"
1369,137,5,"2024-02-19","Pomeriggio","Toscana",816090,35.00,"Tutti","Streaming"
1370,137,5,"2024-02-19","Pomeriggio","Veneto",1423641,25.00,"Adulti 25-54","Streaming"
1371,138,5,"2024-02-22","Pomeriggio","Calabria",446504,29.00,"Adulti 25-54","Streaming"
1372,138,5,"2024-02-22","Pomeriggio","Campania",445661,17.00,"Responsabili Acquisto","Streaming"
1373,138,5,"2024-02-22","Pomeriggio","Emilia-Romagna",733973,13.00,"Adulti 25-54","TV Tradizionale"
1374,138,5,"2024-02-22","Pomeriggio","Lazio",1705469,19.00,"Adulti 25-54","Smart TV"
1375,138,5,"2024-02-22","Pomeriggio","Lombardia",759355,18.00,"Giovani 15-34","Smart TV"
1376,138,5,"2024-02-22","Pomeriggio","Piemonte",1236794,23.00,"Tutti","TV Tradizionale"
1377,138,5,"2024-02-22","Pomeriggio","Puglia",1266084,33.00,"Giovani 15-34","Smart TV"
1378,138,5,"2024-02-22","Pomeriggio","Sicilia",662887,19.00,"Adulti 25-54","TV Tradizionale"
1379,138,5,"2024-02-22","Pomeriggio","Toscana",55991,9.00,"Tutti","Streaming"
1380,138,5,"2024-02-22","Pomeriggio","Veneto",233388,21.00,"Responsabili Acquisto","Streaming"
1381,139,5,"2024-02-25","Pomeriggio","Calabria",179396,5.00,"Responsabili Acquisto","Streaming"
1382,139,5,"2024-02-25","Pomeriggio","Campania",1923797,5.00,"Responsabili Acquisto","Streaming"
1383,139,5,"2024-02-25","Pomeriggio","Emilia-Romagna",1758814,14.00,"Tutti","TV Tradizionale"
1384,139,5,"2024-02-25","Pomeriggio","Lazio",204833,32.00,"Responsabili Acquisto","Smart TV"
1385,139,5,"2024-02-25","Pomeriggio","Lombardia",576679,23.00,"Adulti 25-54","Smart TV"
1386,139,5,"2024-02-25","Pomeriggio","Piemonte",309571,21.00,"Adulti 25-54","TV Tradizionale"
1387,139,5,"2024-02-25","Pomeriggio","Puglia",1048030,35.00,"Giovani 15-34","Smart TV"
1388,139,5,"2024-02-25","Pomeriggio","Sicilia",1658081,30.00,"Responsabili Acquisto","TV Tradizionale"
1389,139,5,"2024-02-25","Pomeriggio","Toscana",992243,5.00,"Responsabili Acquisto","Streaming"
1390,139,5,"2024-02-25","Pomeriggio","Veneto",979132,14.00,"Giovani 15-34","Streaming"
1391,140,5,"2024-02-28","Pomeriggio","Calabria",1632323,5.00,"Responsabili Acquisto","Streaming"
1392,140,5,"2024-02-28","Pomeriggio","Campania",113749,18.00,"Giovani 15-34","Streaming"
1393,140,5,"2024-02-28","Pomeriggio","Emilia-Romagna",1803127,8.00,"Adulti 25-54","TV Tradizionale"
1394,140,5,"2024-02-28","Pomeriggio","Lazio",1075818,32.00,"Adulti 25-54","Smart TV"
1395,140,5,"2024-02-28","Pomeriggio","Lombardia",1768861,21.00,"Responsabili Acquisto","Smart TV"
1396,140,5,"2024-02-28","Pomeriggio","Piemonte",691862,24.00,"Giovani 15-34","TV Tradizionale"
1397,140,5,"2024-02-28","Pomeriggio","Puglia",1931513,10.00,"Giovani 15-34","Smart TV"
1398,140,5,"2024-02-28","Pomeriggio","Sicilia",644474,33.00,"Tutti","TV Tradizionale"
1399,140,5,"2024-02-28","Pomeriggio","Toscana",173928,13.00,"Giovani 15-34","Streaming"
1400,140,5,"2024-02-28","Pomeriggio","Veneto",822738,8.00,"Responsabili Acquisto","Streaming"
1401,141,5,"2024-03-02","Pomeriggio","Calabria",1351604,10.00,"Giovani 15-34","Streaming"
1402,141,5,"2024-03-02","Pomeriggio","Campania",134601,10.00,"Adulti 25-54","Streaming"
1403,141,5,"2024-03-02","Pomeriggio","Emilia-Romagna",922557,32.00,"Giovani 15-34","TV Tradizionale"
1404,141,5,"2024-03-02","Pomeriggio","Lazio",1404836,32.00,"Responsabili Acquisto","Smart TV"
1405,141,5,"2024-03-02","Pomeriggio","Lombardia",415404,5.00,"Tutti","Smart TV"
1406,141,5,"2024-03-02","Pomeriggio","Piemonte",1659175,23.00,"Tutti","TV Tradizionale"
1407,141,5,"2024-03-02","Pomeriggio","Puglia",1167834,16.00,"Tutti","Smart TV"
1408,141,5,"2024-03-02","Pomeriggio","Sicilia",477265,23.00,"Tutti","TV Tradizionale"
1409,141,5,"2024-03-02","Pomeriggio","Toscana",1781338,23.00,"Giovani 15-34","Streaming"
1410,141,5,"2024-03-02","Pomeriggio","Veneto",1049496,17.00,"Adulti 25-54","Streaming"
1411,142,5,"2024-03-05","Pomeriggio","Calabria",1127689,17.00,"Giovani 15-34","Streaming"
1412,142,5,"2024-03-05","Pomeriggio","Campania",194553,20.00,"Giovani 15-34","Streaming"
1413,142,5,"2024-03-05","Pomeriggio","Emilia-Romagna",1285556,15.00,"Giovani 15-34","TV Tradizionale"
1414,142,5,"2024-03-05","Pomeriggio","Lazio",1568029,13.00,"Tutti","Smart TV"
1415,142,5,"2024-03-05","Pomeriggio","Lombardia",1844442,11.00,"Giovani 15-34","Smart TV"
1416,142,5,"2024-03-05","Pomeriggio","Piemonte",658005,16.00,"Responsabili Acquisto","TV Tradizionale"
1417,142,5,"2024-03-05","Pomeriggio","Puglia",1281364,15.00,"Responsabili Acquisto","Smart TV"
1418,142,5,"2024-03-05","Pomeriggio","Sicilia",716203,14.00,"Giovani 15-34","TV Tradizionale"
1419,142,5,"2024-03-05","Pomeriggio","Toscana",1156780,31.00,"Tutti","Streaming"
1420,142,5,"2024-03-05","Pomeriggio","Veneto",1541548,18.00,"Giovani 15-34","Streaming"
1421,143,5,"2024-03-08","Pomeriggio","Calabria",357059,33.00,"Adulti 25-54","Streaming"
1422,143,5,"2024-03-08","Pomeriggio","Campania",82103,11.00,"Tutti","Streaming"
1423,143,5,"2024-03-08","Pomeriggio","Emilia-Romagna",1352367,28.00,"Tutti","TV Tradizionale"
1424,143,5,"2024-03-08","Pomeriggio","Lazio",1104754,28.00,"Adulti 25-54","Smart TV"
1425,143,5,"2024-03-08","Pomeriggio","Lombardia",678404,16.00,"Tutti","Smart TV"
1426,143,5,"2024-03-08","Pomeriggio","Piemonte",1519640,28.00,"Responsabili Acquisto","TV Tradizionale"
1427,143,5,"2024-03-08","Pomeriggio","Puglia",514948,28.00,"Adulti 25-54","Smart TV"
1428,143,5,"2024-03-08","Pomeriggio","Sicilia",1109784,16.00,"Adulti 25-54","TV Tradizionale"
1429,143,5,"2024-03-08","Pomeriggio","Toscana",313190,10.00,"Adulti 25-54","Streaming"
1430,143,5,"2024-03-08","Pomeriggio","Veneto",1680176,35.00,"Giovani 15-34","Streaming"
1431,144,5,"2024-03-11","Pomeriggio","Calabria",464651,20.00,"Responsabili Acquisto","Streaming"
1432,144,5,"2024-03-11","Pomeriggio","Campania",1772337,35.00,"Tutti","Streaming"
1433,144,5,"2024-03-11","Pomeriggio","Emilia-Romagna",1094324,32.00,"Responsabili Acquisto","TV Tradizionale"
1434,144,5,"2024-03-11","Pomeriggio","Lazio",997579,19.00,"Tutti","Smart TV"
1435,144,5,"2024-03-11","Pomeriggio","Lombardia",718851,12.00,"Giovani 15-34","Smart TV"
1436,144,5,"2024-03-11","Pomeriggio","Piemonte",1412195,25.00,"Giovani 15-34","TV Tradizionale"
1437,144,5,"2024-03-11","Pomeriggio","Puglia",657332,10.00,"Giovani 15-34","Smart TV"
1438,144,5,"2024-03-11","Pomeriggio","Sicilia",144752,34.00,"Giovani 15-34","TV Tradizionale"
1439,144,5,"2024-03-11","Pomeriggio","Toscana",1178447,32.00,"Responsabili Acquisto","Streaming"
1440,144,5,"2024-03-11","Pomeriggio","Veneto",1266820,26.00,"Giovani 15-34","Streaming"
